ptime,npass,olng,olat,dlng,dlat,dist,dtime
2016-05-01 22:24:27,1,-73.94440460205078,40.7879295349121,-73.9476318359375,40.77703857421875,1.0,2016-05-01 22:29:30
2016-05-01 22:25:10,1,-73.95120239257811,40.79415130615234,-73.98766326904298,40.77369689941406,3.29,2016-05-01 22:35:28
2016-05-01 22:25:12,1,-73.95503234863281,40.82023239135742,-73.99689483642578,40.76008987426758,5.2,2016-05-01 22:36:09
2016-05-01 22:25:24,1,-73.95361328125,40.80681610107422,-73.9485626220703,40.828834533691406,1.77,2016-05-01 22:33:55
2016-05-01 22:25:35,1,-73.94720458984375,40.79972457885742,-73.94466400146483,40.78572082519531,1.52,2016-05-01 22:31:14
2016-05-01 22:25:38,1,-73.94235229492188,40.79464340209961,-73.97599792480467,40.77881622314453,3.24,2016-05-01 22:38:45
2016-05-01 22:25:46,1,-73.94253540039062,40.82200622558594,-73.94389343261719,40.83274459838867,1.11,2016-05-01 22:32:12
2016-05-01 22:25:47,1,-73.94374084472656,40.795745849609375,-73.96691131591797,40.80345916748047,1.39,2016-05-01 22:33:22
2016-05-01 22:26:00,1,-73.9403305053711,40.84056854248047,-73.96742248535155,40.8071174621582,3.0,2016-05-01 22:35:58
2016-05-01 22:26:39,1,-73.94873046875,40.80337524414063,-73.94834899902342,40.79521942138672,0.8,2016-05-01 22:32:25
2016-05-01 22:26:54,1,-73.94900512695312,40.79440307617188,-73.93672180175781,40.80817413330078,1.17,2016-05-01 22:29:20
2016-05-01 22:27:28,1,-73.9373550415039,40.8289451599121,-73.93110656738281,40.854736328125,2.99,2016-05-01 22:40:22
2016-05-01 22:27:32,1,-73.94613647460938,40.81297302246094,-73.95294952392578,40.817481994628906,0.83,2016-05-01 22:32:09
2016-05-01 22:27:50,1,-73.95626068115234,40.81878662109375,-73.93919372558595,40.80502700805664,1.5,2016-05-01 22:35:45
2016-05-01 22:28:14,1,-73.95800018310547,40.80034255981445,-73.9456787109375,40.80744934082031,1.04,2016-05-01 22:32:39
2016-05-01 22:28:20,1,-73.94076538085938,40.79975128173828,-73.95243835449219,40.781394958496094,1.49,2016-05-01 22:33:32
2016-05-01 22:28:20,1,-73.95521545410156,40.8045654296875,-73.94188690185547,40.817569732666016,1.28,2016-05-01 22:34:29
2016-05-01 22:28:50,1,-73.93568420410156,40.79611587524415,-73.95233917236328,40.78982925415039,1.58,2016-05-01 22:37:07
2016-05-01 22:28:51,1,-73.93924713134766,40.805023193359375,-73.95088958740234,40.77459716796875,2.5,2016-05-01 22:38:31
2016-05-01 22:28:58,1,-73.9392852783203,40.805606842041016,-73.95523834228516,40.76726531982422,3.24,2016-05-01 22:41:41
2016-05-01 22:28:59,1,-73.96380615234375,40.80795669555664,-73.94950103759766,40.80244064331055,1.88,2016-05-01 22:37:38
2016-05-01 22:29:06,1,-73.93941497802734,40.80532836914063,-73.95946502685547,40.81550979614258,1.35,2016-05-01 22:38:04
2016-05-01 22:29:19,1,-73.9393310546875,40.80546951293945,-73.94933319091797,40.77666473388672,2.5,2016-05-01 22:38:39
2016-05-01 22:29:22,1,-73.93946075439453,40.80472183227539,-73.94593048095702,40.78202819824219,1.97,2016-05-01 22:35:43
2016-05-01 22:29:39,1,-73.95049285888672,40.80629348754883,-73.94770812988281,40.791053771972656,1.5,2016-05-01 22:37:01
2016-05-01 22:29:52,1,-73.93905639648438,40.80577850341797,-73.95243072509766,40.81061172485352,0.79,2016-05-01 22:34:52
2016-05-01 22:30:03,1,-73.9619140625,40.80563354492188,-73.95767211914062,40.78189468383789,2.3,2016-05-01 22:40:13
2016-05-01 22:30:24,1,-73.94253540039062,40.79900360107422,-73.9340591430664,40.80193328857422,0.84,2016-05-01 22:34:38
2016-05-01 22:30:33,1,-73.95481872558594,40.80529022216797,-73.97673034667969,40.764869689941406,3.78,2016-05-01 22:42:46
2016-05-01 22:30:33,1,-73.9525375366211,40.78963088989258,-73.95026397705078,40.77143096923828,2.0,2016-05-01 22:39:28
2016-05-01 22:30:37,1,-73.96672821044923,40.804386138916016,-73.97505950927734,40.78931427001953,1.17,2016-05-01 22:38:46
2016-05-01 22:30:38,1,-73.93891906738281,40.80508041381836,-73.94810485839844,40.81627655029297,1.21,2016-05-01 22:35:43
2016-05-01 22:30:39,1,-73.9465103149414,40.80820083618164,-73.93376159667969,40.85397338867188,4.1,2016-05-01 22:42:18
2016-05-01 22:30:45,1,-73.94656372070312,40.81667709350585,-73.98988342285155,40.75669479370117,6.7,2016-05-01 22:51:49
2016-05-01 22:30:47,1,-73.94507598876955,40.80806350708008,-73.93962860107422,40.8159408569336,0.91,2016-05-01 22:34:28
2016-05-01 22:30:59,2,-73.95057678222656,40.79498672485352,-73.96456909179686,40.77141571044922,1.93,2016-05-01 22:38:25
2016-05-01 22:31:01,1,-73.96446228027344,40.80738830566406,-73.98200225830078,40.76279830932617,4.54,2016-05-01 22:45:10
2016-05-01 22:31:04,1,-73.96126556396483,40.80186080932617,-73.96501922607422,40.76480102539063,3.5,2016-05-01 22:44:33
2016-05-01 22:31:24,1,-73.96394348144531,40.80298614501953,-73.9467544555664,40.82387161254883,1.77,2016-05-01 22:38:32
2016-05-01 22:31:33,1,-73.95514678955078,40.82020568847656,-73.94166564941406,40.8524169921875,2.54,2016-05-01 22:39:40
2016-05-01 22:31:33,2,-73.93940734863281,40.82623291015625,-73.95655822753906,40.77120590209961,4.91,2016-05-01 22:45:52
2016-05-01 22:31:34,1,-73.94060516357422,40.81388473510742,-73.95523071289062,40.82030487060547,1.43,2016-05-01 22:38:27
2016-05-01 22:31:43,1,-73.9481430053711,40.82954025268555,-73.93873596191406,40.84978485107422,1.89,2016-05-01 22:38:46
2016-05-01 22:31:54,1,-73.94255828857422,40.79450225830078,-73.95314025878906,40.8145637512207,2.04,2016-05-01 22:42:19
2016-05-01 22:32:07,1,-73.96454620361328,40.80717849731445,-73.95782470703125,40.80274200439453,1.8,2016-05-01 22:41:38
2016-05-01 22:32:14,1,-73.94507598876955,40.80856323242188,-73.94048309326173,40.83327102661133,2.08,2016-05-01 22:39:57
2016-05-01 22:32:14,1,-73.94246673583984,40.80655288696289,-73.94245910644531,40.82766342163085,2.94,2016-05-01 22:45:53
2016-05-01 22:32:36,1,-73.96187591552734,40.80561065673828,-73.95011901855469,40.80720138549805,1.08,2016-05-01 22:36:39
2016-05-01 22:32:53,1,-73.93971252441406,40.80466079711913,-73.94609069824219,40.8271484375,2.2,2016-05-01 22:43:06
2016-05-01 22:33:22,1,-73.93936157226562,40.80512237548828,-73.95567321777344,40.78800582885742,1.56,2016-05-01 22:37:49
2016-05-01 22:33:22,1,-73.95214080810547,40.8105583190918,-73.93903350830078,40.80527114868164,0.8,2016-05-01 22:37:22
2016-05-01 22:33:41,1,-73.94422149658203,40.81442260742188,-73.97827911376955,40.7781639099121,3.52,2016-05-01 22:47:52
2016-05-01 22:33:46,1,-73.9371795654297,40.80187606811523,-73.96207427978516,40.777137756347656,4.87,2016-05-01 22:52:38
2016-05-01 22:33:48,1,-73.94429016113281,40.8345832824707,-73.94571685791014,40.8161506652832,1.5,2016-05-01 22:42:35
2016-05-01 22:34:06,1,-73.93907928466798,40.80572509765625,-73.96871948242188,40.8012809753418,2.2,2016-05-01 22:44:18
2016-05-01 22:34:15,5,-73.93920135498048,40.80524063110352,-73.94844818115234,40.78243637084961,1.93,2016-05-01 22:42:26
2016-05-01 22:34:20,1,-73.93888092041014,40.80563735961913,-73.9615936279297,40.79598617553711,1.9,2016-05-01 22:41:42
2016-05-01 22:34:20,1,-73.93912506103516,40.805747985839844,-73.94600677490234,40.823406219482415,1.8,2016-05-01 22:43:31
2016-05-01 22:34:25,1,-73.95185852050781,40.819183349609375,-73.98733520507811,40.76596450805664,5.02,2016-05-01 22:47:35
2016-05-01 22:35:01,1,-73.93534088134766,40.79612731933594,-73.93560791015625,40.8160514831543,1.79,2016-05-01 22:42:10
2016-05-01 22:35:11,1,-73.94631195068358,40.79804229736328,-73.95433807373048,40.78910446166992,0.99,2016-05-01 22:39:38
2016-05-01 22:35:15,1,-73.96212768554686,40.80530166625977,-73.97572326660156,40.76442337036133,3.5,2016-05-01 22:46:57
2016-05-01 22:35:30,1,-73.9505615234375,40.811561584472656,-73.95223236083984,40.81973648071289,1.01,2016-05-01 22:41:07
2016-05-01 22:35:35,1,-73.9510269165039,40.81025695800781,-73.93940734863281,40.82582092285156,1.24,2016-05-01 22:40:25
2016-05-01 22:35:36,1,-73.94729614257811,40.80525588989258,-73.94078826904298,40.839447021484375,2.96,2016-05-01 22:51:19
2016-05-01 22:35:52,1,-73.94789123535155,40.78738784790039,-73.94387054443358,40.801185607910156,1.3,2016-05-01 22:40:29
2016-05-01 22:36:02,1,-73.95006561279298,40.811614990234375,-73.9379348754883,40.808780670166016,1.02,2016-05-01 22:41:26
2016-05-01 22:36:05,1,-73.93866729736328,40.79926300048828,-73.95201873779298,40.78258895874024,1.5,2016-05-01 22:40:47
2016-05-01 22:36:28,2,-73.93919372558595,40.80590438842773,-73.94964599609375,40.785255432128906,1.66,2016-05-01 22:43:41
2016-05-01 22:36:34,1,-73.9392852783203,40.80554580688477,-73.97139739990234,40.79783630371094,2.52,2016-05-01 22:49:50
2016-05-01 22:36:56,1,-73.94171905517578,40.798728942871094,-73.94876861572266,40.81250381469727,1.42,2016-05-01 22:44:42
2016-05-01 22:36:59,1,-73.93923950195312,40.805641174316406,-73.94757843017578,40.83484268188477,3.18,2016-05-01 22:50:39
2016-05-01 22:37:00,2,-73.93924713134766,40.8055534362793,-73.95266723632812,40.76764297485352,3.41,2016-05-01 22:49:27
2016-05-01 22:37:00,1,-73.93921661376955,40.8056869506836,-73.95681762695312,40.770896911621094,2.85,2016-05-01 22:51:32
2016-05-01 22:37:02,1,-73.93920135498048,40.805274963378906,-73.95269775390625,40.78051376342773,2.1,2016-05-01 22:43:49
2016-05-01 22:37:24,1,-73.93917846679686,40.80568313598633,-73.95018768310547,40.78049850463867,2.08,2016-05-01 22:48:23
2016-05-01 22:37:26,1,-73.9389419555664,40.80558776855469,-73.9607162475586,40.799842834472656,1.7,2016-05-01 22:48:06
2016-05-01 22:37:33,1,-73.95337677001955,40.80717849731445,-73.9593276977539,40.781158447265625,2.37,2016-05-01 22:45:50
2016-05-01 22:37:37,1,-73.95331573486328,40.80351638793945,-73.96589660644531,40.759464263916016,3.93,2016-05-01 22:54:03
2016-05-01 22:37:37,1,-73.9389114379883,40.80577850341797,-73.94644927978516,40.78364944458008,1.9,2016-05-01 22:46:36
2016-05-01 22:37:41,2,-73.93430328369139,40.80314254760742,-73.9417266845703,40.81457138061523,1.43,2016-05-01 22:44:05
2016-05-01 22:37:42,5,-73.93917846679686,40.80585861206055,-73.9591064453125,40.80942153930664,1.31,2016-05-01 22:46:15
2016-05-01 22:37:48,1,-73.9392318725586,40.80538177490234,-73.93679809570312,40.83869552612305,3.4,2016-05-01 22:47:21
2016-05-01 22:38:02,1,-73.93914794921875,40.80491256713867,-73.95563507080078,40.77613067626953,2.42,2016-05-01 22:47:19
