edge_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
176,15,20,21,17,20,21,20,15,21,22,19,21,22,17,18,20,14,11,13,13,13,19,11,8
177,62,40,42,54,57,60,59,64,55,61,70,58,59,52,39,57,76,58,67,55,52,70,52,41
178,13,36,69,48,32,53,37,8,34,26,20,35,36,10,46,72,67,73,74,67,64,30,48,48
179,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0
180,18,38,26,32,46,39,38,49,52,57,46,38,39,49,37,17,34,35,28,41,27,26,27,21
181,25,23,15,14,13,5,12,6,15,17,20,16,24,21,21,16,21,23,21,24,29,17,21,19
182,7,9,8,9,10,9,9,11,10,13,8,9,9,8,8,5,8,5,6,9,6,4,8,6
183,15,5,5,13,5,5,5,5,5,17,19,10,24,5,7,29,19,5,5,31,21,14,10,20
184,25,16,17,22,31,24,23,26,22,24,28,23,24,21,21,23,30,23,27,22,21,28,21,16
185,19,10,10,17,12,12,11,11,11,18,22,17,22,10,12,22,9,11,10,24,11,8,3,14
186,26,26,17,18,20,27,30,27,24,33,29,41,27,40,40,17,27,30,30,22,24,24,20,27
187,8,9,6,7,10,7,10,8,11,11,10,11,11,9,9,10,7,6,7,7,7,10,6,4
188,32,3,3,5,8,3,14,12,20,28,21,35,12,21,32,26,18,10,8,3,19,18,13,28
189,9,8,6,6,7,9,10,9,8,11,10,14,9,13,13,4,9,10,10,7,8,8,7,9
190,4,4,3,6,8,6,6,1,6,6,6,6,3,7,4,6,8,5,6,8,4,1,4,5
191,15,11,22,21,23,24,17,15,11,9,15,23,16,14,16,19,10,13,18,17,10,6,7,6
192,25,16,17,22,31,24,24,26,22,24,28,23,24,21,21,23,30,23,27,22,21,28,21,16
193,33,25,34,34,48,38,37,28,35,38,44,36,37,39,33,36,24,36,37,15,17,44,28,5
194,8,15,12,12,12,15,11,20,17,23,14,15,16,14,14,6,14,9,9,13,11,8,14,3
195,31,30,28,40,56,44,43,47,41,45,51,43,44,46,38,42,40,42,43,27,27,51,27,21
196,6,4,6,1,8,7,6,7,6,7,8,6,7,7,4,6,8,5,6,8,6,1,3,2
197,7,10,6,9,10,7,10,8,11,11,10,11,11,9,9,10,7,6,7,6,7,10,6,4
198,6,5,4,6,9,5,2,7,6,3,8,7,7,7,6,5,9,7,7,6,6,8,1,4
199,12,3,6,32,3,35,35,38,33,36,41,34,35,37,31,34,26,23,35,8,19,10,10,10
200,19,10,13,20,13,12,9,12,10,9,9,6,5,16,5,5,10,12,12,18,6,10,12,13
201,3,8,5,3,6,3,12,12,16,12,14,11,12,15,15,9,10,9,8,15,10,7,15,2
202,19,2,9,20,28,12,7,16,10,11,12,7,7,16,19,21,13,3,8,10,18,8,3,17
203,7,5,9,9,13,10,7,6,5,5,8,5,5,7,3,6,4,4,7,5,3,9,5,8
204,1,2,3,9,9,5,2,1,3,2,4,2,7,1,3,7,13,10,2,9,8,6,2,8
205,8,15,13,20,41,8,31,34,21,23,38,22,22,19,19,18,20,5,25,32,9,7,20,25
206,34,20,50,26,86,17,48,37,33,28,32,31,32,49,16,37,33,37,46,43,13,28,42,29
207,43,40,13,54,20,60,11,44,55,60,70,58,20,25,52,39,75,57,58,75,11,46,5,14
208,4,6,29,29,13,4,11,17,14,9,18,10,15,13,13,12,14,10,4,41,14,26,6,3
209,20,19,18,18,27,28,28,18,26,29,23,27,28,20,13,19,21,27,7,36,17,10,17,13
210,27,20,34,34,36,37,26,40,35,38,44,28,31,22,32,36,47,36,36,24,23,44,23,10
211,7,10,7,7,10,10,10,7,10,11,9,10,11,8,9,10,7,10,6,6,6,7,5,7
212,11,24,27,17,46,15,35,38,33,36,32,35,18,37,31,21,33,26,35,15,22,6,27,5
213,18,16,19,21,10,14,14,20,13,20,34,19,14,22,12,11,35,16,3,5,5,5,22,18
214,11,11,12,22,9,3,10,14,12,7,11,7,6,18,6,9,11,14,3,25,7,10,10,9
215,7,8,9,7,9,5,10,7,10,9,11,17,17,7,15,6,12,6,6,6,15,9,7,4
216,8,5,4,7,10,9,31,34,30,46,26,16,13,17,16,14,11,11,8,13,8,6,8,11
217,7,10,7,8,10,7,10,8,10,11,9,10,11,9,9,10,10,6,7,6,6,7,5,8
218,6,5,6,6,9,7,7,7,6,7,8,7,7,7,6,7,9,7,7,9,6,6,5,5
219,60,46,43,62,88,53,6,74,64,41,81,67,68,72,60,49,87,66,67,87,58,80,6,33
220,45,42,57,31,56,44,43,47,41,44,35,42,43,38,38,42,55,42,49,63,52,73,38,40
221,16,18,25,17,26,27,19,29,25,28,32,26,27,20,16,26,20,26,27,34,17,24,14,13
222,3,20,14,27,4,11,29,22,3,3,17,3,3,17,8,18,3,7,16,38,4,24,23,7
223,10,11,10,12,14,10,13,10,14,15,13,14,15,12,12,13,13,8,9,9,9,10,7,7
224,8,23,10,3,18,7,34,37,32,35,24,34,35,36,30,7,32,33,10,44,5,7,7,4
225,14,10,18,11,19,12,21,22,28,31,25,20,14,26,26,20,15,10,15,11,9,11,11,17
226,29,28,19,20,22,30,33,30,26,36,32,45,30,43,43,39,29,33,33,31,32,26,22,30
227,3,3,2,6,3,4,3,3,3,4,8,4,5,5,3,3,3,5,3,3,4,3,4,2
228,12,15,11,12,13,18,22,19,20,22,20,15,15,23,13,12,13,21,17,12,13,11,17,14
229,3,6,6,5,5,4,4,5,8,4,7,7,10,5,6,4,6,5,4,3,3,5,3,3
230,7,12,7,5,5,4,7,5,14,12,9,10,8,5,7,5,9,5,5,6,8,9,15,5
231,10,8,10,7,6,9,10,13,13,11,12,13,9,13,13,14,13,10,10,9,10,8,14,11
232,18,21,19,19,19,31,30,18,28,24,36,30,30,22,14,29,22,30,30,31,19,27,12,14
233,39,23,34,49,52,55,54,59,51,30,44,37,31,33,25,30,24,42,27,50,17,33,22,25
234,7,8,7,8,10,7,10,8,10,11,9,10,11,8,9,10,7,6,7,6,8,7,9,7
235,14,9,12,29,13,14,13,14,14,17,38,22,27,23,15,16,11,24,11,20,21,18,9,9
236,3,3,3,4,5,4,7,9,10,10,8,10,6,9,9,7,4,3,4,4,4,4,4,2
237,20,13,13,17,24,19,13,20,18,19,22,18,19,13,12,18,15,18,16,17,17,17,17,13
238,51,47,49,36,49,70,48,52,45,49,37,47,69,61,61,67,64,54,68,69,46,61,33,54
239,22,17,28,20,40,31,31,33,29,22,25,21,31,23,14,30,39,30,30,26,26,11,8,15
240,36,45,60,50,85,66,65,71,62,52,78,64,55,69,32,52,42,64,33,82,32,21,21,51
241,7,2,7,7,10,5,8,8,7,8,9,8,8,8,7,8,10,8,8,10,7,9,6,6
242,3,4,4,5,5,7,5,4,6,6,5,5,6,5,5,7,4,4,4,3,5,4,3,3
243,30,28,31,17,16,11,14,12,19,30,24,20,29,25,25,19,26,28,33,23,26,39,26,33
244,2,2,2,3,4,3,5,6,7,7,6,7,4,5,6,5,3,2,3,2,3,3,3,2
245,24,18,16,6,21,27,27,29,25,28,32,26,27,28,24,26,35,26,27,13,23,32,21,12
246,27,22,20,26,35,25,34,28,23,40,22,35,33,38,28,25,31,26,29,28,34,21,24,13
247,18,5,14,19,14,17,15,16,14,11,10,16,11,11,10,14,13,20,13,27,13,5,13,7
248,8,12,9,10,11,14,18,15,16,11,11,12,12,18,11,10,11,17,14,10,11,8,13,8
249,45,34,27,46,65,51,50,54,47,31,60,49,51,40,33,49,65,49,50,64,21,15,32,39
250,52,41,51,37,32,34,49,63,64,53,47,66,56,64,64,70,63,49,49,45,48,39,43,54
251,9,16,5,11,9,24,24,20,22,24,16,23,19,25,21,16,18,23,24,25,2,15,18,19
252,2,11,15,21,22,19,23,13,12,6,6,12,13,12,11,12,15,16,18,30,7,5,18,2
253,7,9,7,3,5,30,29,32,9,30,3,7,8,31,26,3,38,16,12,3,3,5,3,10
254,22,2,9,7,4,2,12,9,14,20,14,19,12,15,22,18,12,7,21,2,3,17,13,20
255,7,9,7,6,4,8,9,8,9,12,6,12,10,11,10,11,8,6,9,8,11,9,7,10
256,6,4,4,6,2,3,3,3,2,4,4,4,2,4,4,4,4,5,6,5,3,4,4,4
257,7,17,8,4,30,23,12,36,31,34,39,22,33,35,15,22,42,32,33,5,28,11,25,26
258,7,10,4,13,11,2,10,12,13,11,12,18,18,8,12,13,8,14,6,13,9,9,7,6
259,30,21,45,31,44,35,34,37,32,27,28,34,35,43,23,25,32,21,24,25,30,24,8,24
260,8,16,33,27,46,29,36,31,34,28,42,16,36,38,32,11,46,35,36,46,22,42,21,13
261,10,19,26,26,37,13,11,23,11,6,34,28,29,3,25,27,25,3,21,36,5,12,8,9
262,24,21,40,27,26,24,17,24,28,31,36,30,30,32,27,29,27,23,24,28,25,36,9,6
263,7,6,4,5,10,5,9,8,8,13,10,12,7,11,11,8,9,6,8,8,7,7,7,7
264,20,30,28,22,46,24,44,48,42,46,53,34,37,27,29,32,29,28,27,33,22,24,23,21
265,3,5,5,7,7,8,3,6,5,4,3,4,5,5,3,3,3,3,3,5,4,3,4,4
266,8,7,4,8,7,6,9,10,9,12,9,11,8,9,7,6,8,7,7,7,11,8,8,7
267,13,19,26,12,13,23,17,18,26,22,15,8,8,24,19,20,15,17,21,19,24,10,22,16
268,3,9,8,31,25,7,34,37,22,24,22,33,28,36,22,27,9,11,27,43,29,8,22,16
269,6,6,4,8,5,6,8,8,8,12,9,9,8,9,7,6,8,6,7,7,10,7,7,7
270,37,28,28,38,22,26,25,34,29,25,29,41,27,30,27,30,39,31,26,31,20,37,24,27
271,49,37,42,33,71,55,42,59,51,56,65,54,13,58,48,53,70,53,54,15,46,30,5,22
272,9,12,9,10,17,20,18,15,16,18,16,12,12,18,11,14,11,17,17,13,11,8,13,8
273,25,19,9,4,2,9,19,21,13,20,16,10,28,21,25,14,11,28,5,36,17,18,8,18
274,15,18,24,24,15,11,26,28,25,27,18,26,13,21,23,21,34,20,26,4,16,25,17,15
