id,lng,lat
729,-73.998629,40.713446
730,-73.998612,40.732215
731,-73.998605,40.729685
732,-73.998594,40.750241
733,-73.998589,40.717099
734,-73.998585,40.724632
735,-73.998524,40.719786
736,-73.998513,40.764213
737,-73.998491,40.715633
738,-73.998486,40.745294
739,-73.998468,40.75343
740,-73.998466,40.753436
741,-73.99846,40.753427
742,-73.998361,40.726168
743,-73.998334,40.758344
744,-73.998287,40.74047
745,-73.998274,40.735391
746,-73.998261,40.760784
747,-73.998232,40.71323
748,-73.998208,40.755869
749,-73.998206,40.708912
750,-73.998196,40.721063
751,-73.99813,40.750856
752,-73.998078,40.764834
753,-73.998075,40.71958
754,-73.998072,40.730288
755,-73.998062,40.713706
756,-73.998045,40.750976
757,-73.998036,40.714825
758,-73.998009,40.745952
759,-73.99799,40.712723
760,-73.997987,40.732946
761,-73.99798,40.722663
762,-73.997931,40.718158
763,-73.997921,40.765405
764,-73.997886,40.72931
765,-73.997862,40.741056
766,-73.997846,40.754561
767,-73.997818,40.765552
768,-73.997805,40.736032
769,-73.997794,40.761442
770,-73.997785,40.724235
771,-73.99777,40.711971
772,-73.997763,40.716814
773,-73.997761,40.721576
774,-73.997758,40.756487
775,-73.997755,40.765288
776,-73.997719,40.715357
777,-73.99768,40.751485
778,-73.997655,40.720836
779,-73.997614,40.753949
780,-73.997614,40.765459
781,-73.99761,40.725797
782,-73.997552,40.746581
783,-73.997533,40.758784
784,-73.997503,40.714051
785,-73.997434,40.741642
786,-73.997399,40.721449
787,-73.997366,40.762085
788,-73.997363,40.766183
789,-73.99736,40.729941
790,-73.997349,40.720705
791,-73.997341,40.736668
792,-73.997306,40.75711
793,-73.997303,40.719324
794,-73.9973,40.713468
795,-73.997157,40.766098
796,-73.997123,40.722301
797,-73.997117,40.712799
798,-73.997108,40.71787
799,-73.997102,40.714604
800,-73.997099,40.747205
801,-73.997066,40.754587
802,-73.997007,40.742228
803,-73.996984,40.716541
804,-73.996974,40.731409
805,-73.996952,40.72388
806,-73.996947,40.712072
807,-73.996908,40.766794
808,-73.996903,40.762741
809,-73.996882,40.759357
810,-73.996865,40.757715
811,-73.99684,40.737361
812,-73.996821,40.720486
813,-73.996798,40.715035
814,-73.996787,40.752722
815,-73.996782,40.711364
816,-73.99678,40.75783
817,-73.996772,40.725432
818,-73.996693,40.766703
819,-73.996659,40.726931
820,-73.996648,40.747823
821,-73.99658,40.742811
822,-73.996575,40.721173
823,-73.996518,40.729553
824,-73.996484,40.710205
825,-73.996476,40.723686
826,-73.996474,40.719053
827,-73.996465,40.763353
828,-73.99643,40.767429
829,-73.99642,40.75832
830,-73.996382,40.70977
831,-73.996376,40.755097
832,-73.996351,40.732255
833,-73.996337,40.738044
834,-73.996327,40.717596
835,-73.996301,40.724662
836,-73.996298,40.753394
837,-73.996279,40.755058
838,-73.996268,40.721952
839,-73.99624,40.710241
840,-73.996237,40.709209
841,-73.99623,40.767346
