scenario,demand starts,demand ends,demand number,fleet size,capacity,max wait (s),max wait (s),method,interval (s),service type,total service rate,served rate (finished),serving rate (in-car),mean wt,mean ivd,mean detour,mean ivt
,,,,,,,,,,VWVT:,1.42% (5299),1.42% (5297),0.0% (2),1240.79,0.0,1.0,637.53
Manhattan,2013-05-06 00:00:00,2013-05-06 23:59:00,373837 (100%),2200,4 (7),300,600,OSP-RO,30,SWST:,95.11% (355550),95.0% (355151),0.11% (399),137.34,156.37,1.26,765.79
1.0,2020-01-16_13:33,2020-01-17_13:37,"1 day, 0:04:36",runtime:,30.12,load (d):,1.87,load (t):,1.49,VWST:,0.08% (290),0.08% (290),0.0% (0),508.03,25.26,1.04,767.84
,,,,,,,,,,VWVT:,1.6% (5968),1.6% (5968),0.0% (0),1214.25,-0.0,1.0,648.22
Manhattan,2013-05-06 00:00:00,2013-05-06 23:59:00,373837 (100%),3000,4 (7),300,600,OSP-RO,30,SWST:,98.15% (366918),98.05% (366541),0.1% (377),117.55,120.68,1.19,730.09
1.0,2020-01-18_11:52,2020-01-19_22:46,"1 day, 10:54:00",runtime:,43.66,load (d):,1.63,load (t):,1.08,VWST:,0.08% (289),0.08% (289),0.0% (0),505.28,26.73,1.05,720.18
,,,,,,,,,,VWVT:,1.77% (6630),1.77% (6630),0.0% (0),1213.34,0.05,1.0,637.96
Manhattan,2013-05-11 00:00:00,2013-05-11 02:19:00,3598 (10.0%),200,4 (7),300,600,OSP-RO,30,SWST:,61.62% (2217),60.73% (2185),0.89% (32),180.85,211.7,1.38,825.56
1.0,2020-03-25_18:26,2020-03-25_18:27,0:01:23,runtime:,0.3,load (d):,1.55,load (t):,1.63,VWST:,0.94% (34),0.92% (33),0.03% (1),455.16,39.93,1.06,640.27
,,,,,,,,,,VWVT:,2.33% (84),2.0% (72),0.33% (12),961.64,-0.0,1.0,551.44
Manhattan,2013-05-11 07:40:00,2013-05-11 09:19:00,1150 (10.0%),200,4 (7),300,600,OSP-RO,30,SWST:,90.0% (1035),87.57% (1007),2.43% (28),162.85,138.02,1.28,653.22
1.0,2020-03-25_21:21,2020-03-25_21:22,0:00:42,runtime:,0.21,load (d):,1.03,load (t):,0.86,VWST:,1.65% (19),1.57% (18),0.09% (1),497.42,24.01,1.05,664.18
,,,,,,,,,,VWVT:,4.7% (54),3.13% (36),1.57% (18),1123.78,0.0,1.0,573.67
Manhattan,2013-05-11 07:40:00,2013-05-11 09:19:00,1150 (10.0%),200,4 (7),300,600,OSP,180,SWST:,82.17% (945),80.35% (924),1.83% (21),200.75,117.79,1.25,628.23
1.0,2020-03-25_21:33,2020-03-25_21:33,0:00:17,runtime:,0.54,load (d):,0.95,load (t):,0.8,VWST:,3.57% (41),3.39% (39),0.17% (2),449.56,26.6,1.06,644.27
,,,,,,,,,,VWVT:,6.17% (71),5.3% (61),0.87% (10),1167.74,-0.0,1.0,584.4
Manhattan,2013-05-11 07:40:00,2013-05-11 09:19:00,1150 (10.0%),200,4 (7),300,600,OSP,30,SWST:,87.22% (1003),85.48% (983),1.74% (20),166.94,130.2,1.26,647.81
1.0,2020-03-25_21:42,2020-03-25_21:42,0:00:24,runtime:,0.12,load (d):,0.99,load (t):,0.84,VWST:,1.74% (20),1.57% (18),0.17% (2),456.08,37.79,1.07,723.18
,,,,,,,,,,VWVT:,4.87% (56),3.48% (40),1.39% (16),1182.04,0.0,1.0,622.06
Manhattan,2013-05-11 07:40:00,2013-05-11 09:20:00,1150 (10.0%),200,4 (7),300,600,OSP-RO,100,SWST:,86.7% (997),84.96% (977),1.74% (20),182.71,121.27,1.24,636.36
1.0,2020-03-25_21:46,2020-03-25_21:46,0:00:23,runtime:,0.4,load (d):,0.98,load (t):,0.83,VWST:,3.3% (38),3.3% (38),0.0% (0),472.69,16.33,1.03,623.93
,,,,,,,,,,VWVT:,4.96% (57),3.91% (45),1.04% (12),1207.58,0.0,1.0,625.08
Manhattan,2013-05-11 07:40:00,2013-05-11 09:19:00,1150 (10.0%),200,4 (7),300,600,OSP-RO,60,SWST:,89.13% (1025),86.96% (1000),2.17% (25),166.5,132.07,1.27,651.29
1.0,2020-03-25_22:02,2020-03-25_22:02,0:00:27,runtime:,0.28,load (d):,1.03,load (t):,0.85,VWST:,2.17% (25),2.09% (24),0.09% (1),467.43,10.73,1.03,557.86
,,,,,,,,,,VWVT:,4.26% (49),2.78% (32),1.48% (17),1213.13,-0.0,1.0,553.69
Manhattan,2013-05-11 07:40:00,2013-05-11 09:20:00,1150 (10.0%),200,4 (7),300,600,OSP-RO,80,SWST:,86.96% (1000),84.87% (976),2.09% (24),182.0,134.56,1.28,652.14
1.0,2020-03-25_22:04,2020-03-25_22:04,0:00:28,runtime:,0.39,load (d):,1.02,load (t):,0.84,VWST:,3.13% (36),3.04% (35),0.09% (1),480.78,13.8,1.03,579.54
,,,,,,,,,,VWVT:,4.35% (50),2.96% (34),1.39% (16),1238.74,0.0,1.0,639.31
Manhattan,2013-05-11 07:40:00,2013-05-11 09:19:00,1150 (10.0%),200,4 (7),300,600,OSP-RO,10,SWST:,92.26% (1061),90.17% (1037),2.09% (24),158.08,129.89,1.26,649.93
1.0,2020-03-25_22:04,2020-03-25_22:05,0:01:24,runtime:,0.14,load (d):,1.03,load (t):,0.86,VWST:,1.65% (19),1.65% (19),0.0% (0),462.2,21.78,1.05,489.25
,,,,,,,,,,VWVT:,3.39% (39),1.91% (22),1.48% (17),1204.64,0.0,1.0,622.54
Manhattan,2013-05-11 07:40:00,2013-05-11 09:19:00,3449 (30.0%),600,4 (7),300,600,OSP-RO,30,SWST:,97.45% (3361),95.45% (3292),2.0% (69),132.62,103.67,1.21,620.57
1.0,2020-03-25_22:10,2020-03-25_22:13,0:03:32,runtime:,1.07,load (d):,1.07,load (t):,0.85,VWST:,0.58% (20),0.55% (19),0.03% (1),505.52,24.05,1.04,621.32
,,,,,,,,,,VWVT:,1.83% (63),1.45% (50),0.38% (13),919.2,-0.0,1.0,527.12
Manhattan,2013-05-11 07:40:00,2013-05-11 09:19:00,5748 (50.0%),1000,4 (7),300,600,OSP-RO,30,SWST:,99.2% (5702),97.37% (5597),1.83% (105),120.28,95.76,1.19,617.6
1.0,2020-03-25_22:16,2020-03-25_22:26,0:10:39,runtime:,3.23,load (d):,1.14,load (t):,0.86,VWST:,0.14% (8),0.14% (8),0.0% (0),489.52,53.57,1.11,582.57
,,,,,,,,,,VWVT:,0.66% (38),0.52% (30),0.14% (8),815.28,0.0,1.0,436.36
Manhattan,2013-05-06 07:40:00,2013-05-06 09:19:00,6889 (30.0%),600,4 (7),300,600,OSP-RO,30,SWST:,78.14% (5383),75.73% (5217),2.41% (166),176.24,208.22,1.38,788.41
1.0,2020-03-25_22:28,2020-03-25_22:34,0:06:02,runtime:,1.83,load (d):,1.93,load (t):,2.0,VWST:,0.25% (17),0.23% (16),0.01% (1),486.53,40.52,1.04,833.72
,,,,,,,,,,VWVT:,0.01% (1),0.01% (1),0.0% (0),884.84,-0.0,1.0,1150.32
